x,ticker,filing_date,trade_date,company_name,insider_name,qty,owned,d_own,value,d_own_plus%,start_price,price_5d,price_10d,price_30d,price_90d,price_252d,return_5d,return_10d,return_30d,return_90d,return_252d,value_numeric,est_market_cap
A,RIG,2023-04-25 18:58:23,2022-05-13,Transocean Ltd.,Mohn Frederik Wilhelm,2000000,48018499,+4%,7500000.0,4.0,5.75,5.650000095367432,5.949999809265137,6.340000152587891,8.170000076293945,6.179999828338623,-0.017391287762185802,0.034782575524371605,0.10260872218919836,0.4208695784859035,0.07478257884149966,7500000.0,276106369.25
A,RIG,2023-04-25 19:00:18,2022-05-13,Transocean Ltd.,Perestroika,2000000,47996351,+4%,7500000.0,4.0,5.75,5.650000095367432,5.949999809265137,6.340000152587891,8.170000076293945,6.179999828338623,-0.017391287762185802,0.034782575524371605,0.10260872218919836,0.4208695784859035,0.07478257884149966,7500000.0,275979018.25
D,PIII,2023-04-28 18:12:45,2023-04-06,P3 Health Partners Inc.,"Chicago Pacific Founders Ugp, LLC",4739120,104740954,+5%,5592162.0,5.0,63.5,91.0,131.5,223.0,106.0,23.600000381469727,0.4330708661417323,1.0708661417322836,2.5118110236220472,0.6692913385826772,-0.6283464506855161,5592162.0,6651050579.0
,ENPH,2023-04-26 16:39:28,2023-04-26,"Enphase Energy, Inc.",Rodgers Thurman J,32900,1224609,+3%,5490467.0,3.0,164.17999267578125,155.4199981689453,160.7899932861328,181.39999389648438,126.52999877929688,112.47000122070312,-0.053356041525321335,-0.02064806639590323,0.10488489456025725,-0.22932144948279226,-0.31495915313623984,5490467.0,201056296.6506958
,FYBR,2023-04-27 16:02:52,2023-04-25,"Frontier Communications Parent, Inc.",Ares Management LLC,250000,37744654,+1%,5389175.0,1.0,22.540000915527344,19.68000030517578,18.610000610351562,16.739999771118164,16.309999465942383,23.68000030517578,-0.12688555874819715,-0.1743567056587156,-0.25732035975267764,-0.2763975686129294,0.050576723307190076,5389175.0,850764535.7162628
,FYBR,2023-04-27 16:01:55,2023-04-25,"Frontier Communications Parent, Inc.",Ares Management LLC,250000,37744654,+1%,5389175.0,1.0,22.540000915527344,19.68000030517578,18.610000610351562,16.739999771118164,16.309999465942383,23.68000030517578,-0.12688555874819715,-0.1743567056587156,-0.25732035975267764,-0.2763975686129294,0.050576723307190076,5389175.0,850764535.7162628
,FYBR,2023-04-27 16:02:23,2023-04-25,"Frontier Communications Parent, Inc.",Ares Management LLC,250000,37744654,+1%,5389175.0,1.0,22.540000915527344,19.68000030517578,18.610000610351562,16.739999771118164,16.309999465942383,23.68000030517578,-0.12688555874819715,-0.1743567056587156,-0.25732035975267764,-0.2763975686129294,0.050576723307190076,5389175.0,850764535.7162628
,FYBR,2023-04-27 16:00:56,2023-04-25,"Frontier Communications Parent, Inc.",Ares Management LLC,250000,37744654,+1%,5389175.0,1.0,22.540000915527344,19.68000030517578,18.610000610351562,16.739999771118164,16.309999465942383,23.68000030517578,-0.12688555874819715,-0.1743567056587156,-0.25732035975267764,-0.2763975686129294,0.050576723307190076,5389175.0,850764535.7162628
,FYBR,2023-04-27 16:00:12,2023-04-25,"Frontier Communications Parent, Inc.",Ares Management LLC,250000,37744654,+1%,5389175.0,1.0,22.540000915527344,19.68000030517578,18.610000610351562,16.739999771118164,16.309999465942383,23.68000030517578,-0.12688555874819715,-0.1743567056587156,-0.25732035975267764,-0.2763975686129294,0.050576723307190076,5389175.0,850764535.7162628
,ENPH,2023-04-27 16:36:48,2023-04-26,"Enphase Energy, Inc.",Rodgers Thurman J,27900,1252509,+2%,4568913.0,2.0,164.1999969482422,159.64999389648438,167.5500030517578,174.5800018310547,128.72999572753906,110.47000122070312,-0.02771012872303541,0.02040198639328591,0.06321562165487983,-0.2160170638242076,-0.32722287896555446,4568913.0,205661973.97764587
,FYBR,2023-04-18 18:29:40,2023-04-14,"Frontier Communications Parent, Inc.",Ares Management LLC,200000,37294654,+1%,4288020.0,1.0,21.139999389648438,21.15999984741211,22.010000228881836,14.880000114440918,15.550000190734863,22.739999771118164,0.0009460954749821535,0.0411542509154191,-0.2961210717098145,-0.264427595094956,0.07568592373059359,4288020.0,788408962.7971497
,FYBR,2023-04-18 18:24:39,2023-04-14,"Frontier Communications Parent, Inc.",Ares Management LLC,200000,37294654,+1%,4288020.0,1.0,21.139999389648438,21.15999984741211,22.010000228881836,14.880000114440918,15.550000190734863,22.739999771118164,0.0009460954749821535,0.0411542509154191,-0.2961210717098145,-0.264427595094956,0.07568592373059359,4288020.0,788408962.7971497
,FYBR,2023-04-18 18:26:44,2023-04-14,"Frontier Communications Parent, Inc.",Ares Management LLC,200000,37294654,+1%,4288020.0,1.0,21.139999389648438,21.15999984741211,22.010000228881836,14.880000114440918,15.550000190734863,22.739999771118164,0.0009460954749821535,0.0411542509154191,-0.2961210717098145,-0.264427595094956,0.07568592373059359,4288020.0,788408962.7971497
,FYBR,2023-04-18 18:28:27,2023-04-14,"Frontier Communications Parent, Inc.",Ares Management LLC,200000,37294654,+1%,4288020.0,1.0,21.139999389648438,21.15999984741211,22.010000228881836,14.880000114440918,15.550000190734863,22.739999771118164,0.0009460954749821535,0.0411542509154191,-0.2961210717098145,-0.264427595094956,0.07568592373059359,4288020.0,788408962.7971497
