date,o,h,l,c,volume
01/02/2019,0.3150,0.3150,0.3150,0.3150,5000
01/04/2019,0.2900,0.2900,0.2900,0.2900,1000
01/07/2019,0.2950,0.2950,0.2950,0.2950,200
01/09/2019,0.3613,0.3613,0.3613,0.3613,3300
01/11/2019,0.3900,0.3995,0.3900,0.3995,4300
01/22/2019,0.3430,0.3430,0.3430,0.3430,1000
01/23/2019,0.3030,0.4000,0.3030,0.4000,6200
01/28/2019,0.3600,0.4150,0.3600,0.4150,28800
01/29/2019,0.4190,0.4190,0.4190,0.4190,3600
01/30/2019,0.4000,0.4189,0.4000,0.4189,3400
02/01/2019,0.3500,0.3500,0.3500,0.3500,9000
02/07/2019,0.3301,0.3301,0.3301,0.3301,100
02/08/2019,0.4050,0.4050,0.3625,0.4050,1200
02/12/2019,0.3800,0.3800,0.3800,0.3800,5000
02/13/2019,0.3760,0.4400,0.3760,0.4400,15800
02/14/2019,0.3210,0.4000,0.3210,0.4000,9700
02/15/2019,0.3310,0.3310,0.3310,0.3310,1200
02/20/2019,0.3790,0.3800,0.3790,0.3800,2500
02/27/2019,0.3500,0.3500,0.3500,0.3500,2400
03/04/2019,0.3200,0.3300,0.3200,0.3300,14000
03/05/2019,0.3285,0.3285,0.3285,0.3285,600
03/07/2019,0.3300,0.3300,0.3300,0.3300,500
03/11/2019,0.3720,0.3800,0.3720,0.3800,6500
03/12/2019,0.4000,0.4000,0.3799,0.3800,12900
03/18/2019,0.3800,0.3800,0.3800,0.3800,100
03/25/2019,0.3800,0.4400,0.3800,0.4205,6700
03/26/2019,0.4100,0.4100,0.4100,0.4100,500
04/03/2019,0.4400,0.4400,0.4400,0.4400,100
04/04/2019,0.4100,0.4100,0.4100,0.4100,11300
04/08/2019,0.4200,0.4200,0.3301,0.3301,10300
04/09/2019,0.4000,0.4000,0.4000,0.4000,300
04/10/2019,0.4000,0.4000,0.4000,0.4000,16500
04/15/2019,0.4000,0.4300,0.4000,0.4300,5500
04/16/2019,0.3946,0.3946,0.3946,0.3946,1000
04/18/2019,0.3310,0.3310,0.3310,0.3310,900
04/23/2019,0.3999,0.3999,0.3999,0.3999,300
04/24/2019,0.4000,0.4000,0.4000,0.4000,300
04/26/2019,0.3929,0.3929,0.3929,0.3929,2000
04/29/2019,0.3750,0.4299,0.3750,0.4299,16300
04/30/2019,0.3600,0.3600,0.3600,0.3600,1000
05/06/2019,0.3650,0.3650,0.3650,0.3650,600
05/09/2019,0.3350,0.3350,0.3300,0.3300,4300
05/10/2019,0.3300,0.3300,0.3300,0.3300,6000
05/13/2019,0.3970,0.3970,0.3970,0.3970,1200
05/14/2019,0.3334,0.3334,0.3334,0.3334,300
05/15/2019,0.3500,0.3740,0.3500,0.3740,1100
05/17/2019,0.3800,0.3800,0.3500,0.3500,3700
05/29/2019,0.3800,0.3800,0.3300,0.3300,1200
05/30/2019,0.3500,0.3690,0.3500,0.3690,8300
06/06/2019,0.3690,0.3690,0.3160,0.3160,5100
06/07/2019,0.3600,0.3600,0.3600,0.3600,4700
06/11/2019,0.3590,0.3590,0.3100,0.3100,79600
06/13/2019,0.2810,0.3600,0.2810,0.3600,1200
06/19/2019,0.2964,0.3600,0.1620,0.3600,5500
06/21/2019,0.3590,0.3590,0.3590,0.3590,100
06/26/2019,0.2620,0.2620,0.2620,0.2620,1200
06/27/2019,0.2621,0.2625,0.2621,0.2625,800
06/28/2019,0.3740,0.3740,0.2625,0.2625,1000
07/01/2019,0.2800,0.2800,0.2700,0.2759,1500
07/02/2019,0.2900,0.2900,0.2900,0.2900,100
07/03/2019,0.3090,0.3090,0.2900,0.2900,1700
07/05/2019,0.3480,0.3550,0.2921,0.2921,61600
07/09/2019,0.3550,0.3970,0.3400,0.3400,28100
07/10/2019,0.3400,0.3400,0.3400,0.3400,3500
07/12/2019,0.3210,0.3210,0.3200,0.3200,15000
07/15/2019,0.3400,0.3400,0.3125,0.3125,35300
07/16/2019,0.3150,0.3150,0.3150,0.3150,1000
07/18/2019,0.3100,0.3100,0.3000,0.3000,27000
07/19/2019,0.2900,0.2900,0.2900,0.2900,1000
07/22/2019,0.3400,0.3400,0.3400,0.3400,200
07/23/2019,0.3000,0.3000,0.3000,0.3000,2500
07/24/2019,0.3000,0.3000,0.3000,0.3000,1000
07/25/2019,0.3000,0.3000,0.3000,0.3000,2700
07/26/2019,0.3000,0.3000,0.3000,0.3000,3400
07/30/2019,0.2900,0.2900,0.2900,0.2900,500
07/31/2019,0.3014,0.3014,0.3014,0.3014,300
08/02/2019,0.3100,0.3100,0.3000,0.3000,15000
08/07/2019,0.2940,0.2940,0.2700,0.2900,14600
08/08/2019,0.2767,0.2767,0.2560,0.2700,21800
08/12/2019,0.2560,0.2700,0.2560,0.2700,900
08/13/2019,0.2560,0.2560,0.2200,0.2200,117900
08/14/2019,0.2600,0.2800,0.2590,0.2700,45400
08/15/2019,0.2800,0.2800,0.2800,0.2800,3500
08/16/2019,0.2550,0.2800,0.2550,0.2800,8500
08/19/2019,0.2355,0.2800,0.2355,0.2800,12800
